genename	refseq
CDADC1	NM_001193478
CBR1	NM_001286789
CBR1	NM_001757
CBR3	NM_001236
ADRA1D	NM_000678
RSPO4	NM_001029871
RSPO4	NM_001040007
DEFB129	NM_080831
LTN1	NM_001320766
LTN1	NM_015565
ANGPT4	NM_001322809
ANGPT4	NM_015985
RWDD2B	NM_016940
RWDD2B	NM_001320724
RUNX1	NM_001001890
USP16	NM_001001992
RUNX1	NM_001754
USP16	NM_001032410
USP16	NM_006447
CCT8	NM_001282909
RUNX1	NM_001122607
CCT8	NM_006585
CCT8	NM_001282908
SIRPG	NM_080816
CCT8	NM_001282907
NDUFV2	NM_021074
SIRPG	NM_018556
SIRPG	NM_001039508
MAP3K7CL	NM_001286623
MAP3K7CL	NM_001371369
MAP3K7CL	NM_001286634
MAP3K7CL	NM_020152
MAP3K7CL	NM_001371374
MAP3K7CL	NM_001286617
MAP3K7CL	NM_001286618
MAP3K7CL	NM_001286619
MAP3K7CL	NM_001286622
MAP3K7CL	NM_001371376
MAP3K7CL	NM_001371370
MAP3K7CL	NM_001286620
